#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  315
#! SET periodic_phi true
   -3.141592654   51.853673531   47.055307802
   -3.121646034   52.773162144   45.044935108
   -3.101699414   53.657360667   43.168257104
   -3.081752794   54.504100952   41.669294954
   -3.061806173   55.328290515   40.287972103
   -3.041859553   56.121357629   38.859767064
   -3.021912933   56.884654123   37.321599054
   -3.001966313   57.617320686   35.584434230
   -2.982019693   58.314651639   33.870115526
   -2.962073073   58.973786055   31.915976183
   -2.942126453   59.596174769   29.972236631
   -2.922179833   60.174711565   27.975606106
   -2.902233213   60.717524672   26.090196217
   -2.882286593   61.219619238   24.147559692
   -2.862339973   61.688256700   22.217319014
   -2.842393353   62.116391310   20.479324040
   -2.822446733   62.505543875   18.364598824
   -2.802500113   62.848388415   15.970864716
   -2.782553493   63.147690271   13.641256801
   -2.762606873   63.400997865   11.515227735
   -2.742660253   63.609570009    9.480157310
   -2.722713633   63.782769870    7.931549514
   -2.702767013   63.932524278    6.727469919
   -2.682820393   64.061055289    6.190302510
   -2.662873773   64.186496048    6.151469443
   -2.642927153   64.310527485    6.200142952
   -2.622980533   64.433550470    6.241901667
   -2.603033913   64.552187924    5.857228688
   -2.583087293   64.669725012    5.186450331
   -2.563140673   64.762754799    3.947593267
   -2.543194053   64.824757946    2.384029350
   -2.523247433   64.851485699    0.555196101
   -2.503300813   64.839243496   -1.804964552
   -2.483354193   64.784229781   -3.894067581
   -2.463407573   64.690100713   -5.549214494
   -2.443460953   64.562758853   -6.871251225
   -2.423514333   64.416026268   -7.749450528
   -2.403567713   64.262993679   -8.157397197
   -2.383621093   64.097343458   -8.139465059
   -2.363674473   63.935829139   -7.656309190
   -2.343727853   63.787161011   -7.272291572
   -2.323781233   63.648876156   -6.880226522
   -2.303834613   63.515965812   -6.434149493
   -2.283887993   63.388803010   -6.270655670
   -2.263941373   63.263885098   -6.270014946
   -2.243994753   63.138933142   -6.231963941
   -2.224048133   63.010771812   -6.298605868
   -2.204101513   62.888184689   -6.035152436
   -2.184154892   62.771985944   -5.637951610
   -2.164208272   62.664092677   -5.046368923
   -2.144261652   62.568128777   -4.349748136
   -2.124315032   62.488568313   -3.620528693
   -2.104368412   62.422160032   -3.078124027
   -2.084421792   62.366737836   -2.603741636
   -2.064475172   62.318755449   -2.039826382
   -2.044528552   62.280851648   -1.891036141
   -2.024581932   62.242740455   -1.733714435
   -2.004635312   62.209640399   -1.533762020
   -1.984688692   62.181752944   -1.541603193
   -1.964742072   62.151357644   -1.301853617
   -1.944795452   62.125078351   -1.186715778
   -1.924848832   62.104563510   -0.823115143
   -1.904902212   62.094703057   -0.329671770
   -1.884955592   62.097859454    0.607935641
   -1.865008972   62.124589085    1.848871636
   -1.845062352   62.170011932    2.809000933
   -1.825115732   62.238028548    3.960940224
   -1.805169112   62.325038972    4.785632680
   -1.785222492   62.431722464    5.374916736
   -1.765275872   62.542180801    5.803041300
   -1.745329252   62.662835427    6.120718131
   -1.725382632   62.781536009    6.248777876
   -1.705436012   62.910322974    6.821684157
   -1.685489392   63.057145271    7.781458146
   -1.665542772   63.231326237    9.402526697
   -1.645596152   63.440332501   11.239095960
   -1.625649532   63.681510288   12.990839631
   -1.605702912   63.954794138   14.386513183
   -1.585756292   64.245154826   14.916379054
   -1.565809672   64.541508001   14.447202509
   -1.545863052   64.817463636   12.999267226
   -1.525916432   65.060820455   10.976858139
   -1.505969812   65.254113723    8.494850514
   -1.486023192   65.401807447    6.228910706
   -1.466076572   65.508369440    4.326471548
   -1.446129952   65.576993307    2.715663647
   -1.426183332   65.619640658    1.584520016
   -1.406236712   65.644287030    0.616522847
   -1.386290092   65.643850211   -0.585537488
   -1.366343472   65.613203401   -2.004070415
   -1.346396852   65.558232733   -3.690790081
   -1.326450232   65.460706806   -5.810136948
   -1.306503611   65.324145473   -7.805122459
   -1.286556991   65.153436809   -9.618802645
   -1.266610371   64.945944169  -11.158026171
   -1.246663751   64.709326982  -12.570622256
   -1.226717131   64.442705518  -13.929896286
   -1.206770511   64.150764451  -15.345708131
   -1.186823891   63.823477565  -17.072869405
   -1.166877271   63.456397233  -19.113528411
   -1.146930651   63.050696469  -21.640907782
   -1.126984031   62.597097961  -24.007585998
   -1.107037411   62.092991674  -26.208187415
   -1.087090791   61.546542158  -27.858650538
   -1.067144171   60.974532094  -29.006767678
   -1.047197551   60.391731020  -29.350376849
   -1.027250931   59.804514121  -29.485498605
   -1.007304311   59.214377910  -29.424584537
   -0.987357691   58.623076720  -29.394973178
   -0.967411071   58.031749824  -29.530755159
   -0.947464451   57.431574248  -30.031837888
   -0.927517831   56.821030163  -30.829721642
   -0.907571211   56.197968596  -31.603533418
   -0.887624591   55.559896393  -32.323564553
   -0.867677971   54.904937884  -32.840348545
   -0.847731351   54.242515083  -33.504408784
   -0.827784731   53.556672421  -34.216752284
   -0.807838111   52.861716927  -35.145072320
   -0.787891491   52.145609602  -36.123211038
   -0.767944871   51.406116991  -37.303489601
   -0.747998251   50.652062163  -38.452104924
   -0.728051631   49.870490959  -39.584376262
   -0.708105011   49.066660585  -40.494510814
   -0.688158391   48.247308661  -41.416311054
   -0.668211771   47.412495261  -42.065643078
   -0.648265151   46.562585013  -42.554138749
   -0.628318531   45.709035317  -42.931719875
   -0.608371911   44.844504935  -43.162030364
   -0.588425291   43.981050572  -42.900787128
   -0.568478671   43.123287014  -42.317522471
   -0.548532051   42.284599354  -41.223582518
   -0.528585431   41.482086880  -39.199706784
